body,topic
"fires. Suffolk County's new police commissioners get involved in the more than decade old Gilgo Beach murders. Former NYPD Chief of Department Rodney Harrison got a look at the site at the center of the unsolved cold case. Eleven bodies were found dumped on Gilgo and Jones beaches ten years ago this month, marking the 11th anniversary of the serial killer case. But the new Commissioner is confident the case can be solved. ","['83a09c6b-5f2f-421f-ae50-b38acca7e008', '9ff54ded-904b-4e0c-85ce-a3617f5cb913']"
morning. Defense Secretary Lloyd Austin has tested positive for Cobra. Austin says he requested the test or at test while on leave because he was experiencing ,"['83a09c6b-5f2f-421f-ae50-b38acca7e008', '96326734-fd82-4350-b45c-513e7eb9147c']"
"tonight, another chance for you to win half a billion plus dollars tonight's. Powerball jackpot is actually up to $522,000,000 right now. Could tweak up a little bit during the day. The massive prize comes after 37 straight drawings with no jackpot winner. The jackpot has cash value of $371.5 million. And ",['0d817400-3f5d-41e0-929c-c31fdbe75d31']
"New Tonight the latest member of Congress to test positive for Coven 19 Alexandria OCASIOCORTEZ a statement from her office as the New York representative is experiencing symptoms and recovering at home. The Democrat did receive a booster shot in the fall, and she encourages everyone to get their booster and follow CDC guidance. Several members of Congress reported breakthrough cases despite being fully vaccinated and boosted ","['83a09c6b-5f2f-421f-ae50-b38acca7e008', '96326734-fd82-4350-b45c-513e7eb9147c']"
"that. All right. To other news right now, the new video from Janet Jackson's documentary, Five years in the making. And this isn't just other people talking about it. It's Janet, in her own words. It's just something that needs to be done. Despite all of her time in the spotlight, she's a very private person. Now she's pulling back the curtain on what life was really like growing up as a Jackson. My father was very strict. He was in charge of my life, my career. She does talk about her ",['ca197b81-ca86-4792-8c25-2ba7cd4195b5']
"morning. Search teams are continuing to look for two people missing after that massive wildfire in Colorado. There were initial reports of three missing persons that one individual has been accounted for. The fire tore across roughly nine and a half square miles, destroying nearly 1000 homes and other buildings in suburbs between Denver and Boulder. Families were forced to evacuate to safety with just the ",['9a06646a-e1df-4fca-888e-69658420556b']
 ,['39822b5f-e37e-43e8-b997-7142fe55c3ea']
"tonight. Cautious optimism from experts studying the most contagious just covet variants so far, saying over the next few months there is a strong chance, vaccinated or not, the majority of Americans will come into contact with Omicron, which not only appears less severe, but is likely pushing us closer to ","['96326734-fd82-4350-b45c-513e7eb9147c', 'f5cdd7f2-9d4d-4ba5-9925-00c1701e30fa']"
"home tests today expected to be one of the busiest travel days of the holiday season. And already more than 1600 flights have been canceled across the US today, 2700 were canceled yesterday, and the country has seen widespread flight cancellations every day since the day before Christmas Eve because of bad weather and staffing shortages due to Covet. We had a huge snowstorm and oh my goodness, they canceled the flight because they were scared that we want to be able to ",['74e2fab8-689f-4e17-9a1c-e1f92e084f55']
"Cher did the best seat ever. She took a photo for a couple outside because they didn't have anyone to take it. She said that she was leaving the movies and saw that this woman was holding a thing of flowers and that her boyfriend was taking a photo of them. They had no idea that it was Cher because she had on a map. So Cher posted on her social media, like giving them a shout out. Oh, if you don't know it's Cher. Once Cher starts speaking, how do you know it's not Cher? I get it. If you had a mask on, ",['ca197b81-ca86-4792-8c25-2ba7cd4195b5']
"Newark, up to Westchester County. Yonkers Public Schools will go remote for at least the first part of January 1, week after widespread testing revealed a high number of cases among teachers. ","['96326734-fd82-4350-b45c-513e7eb9147c', '6fbf954a-03f9-4782-a65f-783271c9c447']"
"New York City's new Mayor Eric Adams got right to work on his first day on the job. He was sworn in last night in Times Square just minutes after the ball dropped at midnight. He took the oath with one hand on a family Bible while holding a photograph of his mother, Dorothy, who died in ","['83a09c6b-5f2f-421f-ae50-b38acca7e008', '96326734-fd82-4350-b45c-513e7eb9147c']"
California making a big decision tonight. The state now extending its indoor mask mandate until at least February 15. It had been set to end on January ,"['83a09c6b-5f2f-421f-ae50-b38acca7e008', '96326734-fd82-4350-b45c-513e7eb9147c']"
Fouche. And we moved to Colorado. And the desperate search there for at least three people missing after one of the most destructive wildfires in the state's history. A blanket of snow is now covering the area where nearly 10 homes were destroyed. And President Biden has approved a federal disaster declaration freeing up funds for those affected. Here's ABC's Zorin Shaw. ,"['83a09c6b-5f2f-421f-ae50-b38acca7e008', '9ff54ded-904b-4e0c-85ce-a3617f5cb913']"
"one of the two back country skiers who managed to locate a dog who got buried beneath several feet of snow after a big avalanche in Colorado. The skiers searched for Apollo for more than 20 minutes and almost gave up. And one of them finally spotted his little nose sticking out from the snow, using their hands and shovels. As you saw there, the two men frantically dug the dog out soon found him. Apollo was fine, just a little Chitty. ",['0d817400-3f5d-41e0-929c-c31fdbe75d31']
"story. Long island continues to lead the state in terms of its percentage of positive code. But cases, which is why testing has become so important and Nassau County is making it easier for people to get those tests. ",['96326734-fd82-4350-b45c-513e7eb9147c']
"Today a new year means a lot of new laws are going into effect today across the country, including one that puts a ban on something that impacts and shocks millions of Americans every year. Surprise medical Bills Ali Vitale has what you need to know ","['83a09c6b-5f2f-421f-ae50-b38acca7e008', '96326734-fd82-4350-b45c-513e7eb9147c']"
Detectives are trying to figure out who shot an off duty police officer this morning as he slept in a car next to his East Harlem station house. The officer was resting in between shifts at the 25th Precinct when a bullet flew into his car. Bullet fragments struck him in the back of the head. He underwent surgery for a fractured ,"['83a09c6b-5f2f-421f-ae50-b38acca7e008', '9ff54ded-904b-4e0c-85ce-a3617f5cb913']"
"The NYPD has released surveillance video of an armed robbery inside of Bronx apartment building elevator. This happened in the early morning hours last Tuesday in Hunts Point when the 19 year old victim was confronted by two suspects at gunpoint. He was not hurt, but he was robbed of $8,000, his jacket, iPhone ",['9ff54ded-904b-4e0c-85ce-a3617f5cb913']
"Well, almost two weeks into the new year, Dr. Dorian joins us now we're hearing mostly negative things about Omacron. One or two positive things. What are you seeing in your Er ",['96326734-fd82-4350-b45c-513e7eb9147c']
It's a big weekend in College football with team squaring off in several bowl games. But it's not just a trophy on the line. There are also billions of dollars at stake. And now a big change to the rules means College players can get some of that money for themselves. Steve Patterson now on how it's changing the ,"['ca197b81-ca86-4792-8c25-2ba7cd4195b5', 'b49207eb-96eb-4b73-b534-adc0ef85022a']"
"very much, Shante. One more note about schools. Bs 58 in Carroll Gardens, Brooklyn, is closed today due to staffing shortages caused by the Covet surge. Doe tells Iya this news. This was not authorized and there are substances that could have worked. Dose also says the school will reopen on Tuesday. ","['96326734-fd82-4350-b45c-513e7eb9147c', '6fbf954a-03f9-4782-a65f-783271c9c447']"
"507 just before his inauguration, Eric Adams tweeted that his administration would hit the ground running, and he appears to be delivering on that pledge. The start of the mayor's second day in office was much less eventful than the first when he called 911. After witnessing a fight on his walk to the subway instead of the train, Adams rode a city bike from Gracie Mashing to the Upper West Side. He laid out his plan to fight crime, which includes a return to precision policing. ",['83a09c6b-5f2f-421f-ae50-b38acca7e008']
"News blame the pandemic for an inauspicious start to 2022 at the airports. The major Airlines canceled 2600 flights today because of staffing shortages. More than 100 of those canceled flights were supposed to take off from Newark. In the past week, the airline scrubbed 120 ","['39822b5f-e37e-43e8-b997-7142fe55c3ea', '96326734-fd82-4350-b45c-513e7eb9147c']"
"days. Twitter has permanently suspended Congresswoman Marjorie Taylor Greene's personal account. The site says the Republican lawmaker repeatedly violated its covid 19 misinformation policy. In response, Green said in part, quote, Social media platforms cannot stop the truth from being spread far and wide. Green's official congressional Twitter account does remain ","['83a09c6b-5f2f-421f-ae50-b38acca7e008', 'aa1edc37-1a01-414a-bcf7-8517e7c7053d']"
News. The ban on medical bills is far from the only law going into effect today. Pete Williams now on the many new rules that start ,"['83a09c6b-5f2f-421f-ae50-b38acca7e008', '6fbf954a-03f9-4782-a65f-783271c9c447']"
"436 Connecticut towns will continue to distribute at home tests today. That is after the state received a smaller number of tests than planned because of shipping problems. Some areas began handing out tests yesterday after the state received 400,000 tests last week. Connecticut was waiting on a shipment of 3 million tests, but Governor Lamont says that order fell through due to a misrepresentation from the supplier. Senator Blumenthal is calling on President Biden to use the Defense Production Act to make tests more ",['96326734-fd82-4350-b45c-513e7eb9147c']
"Today NFL star Antonio Brown's epic meltdown during the Bucks game yesterday. He stripped down and stormed off the field in the middle of the third quarter while the Memes flooded the Internet. Naturally, Antonio's teammate and good friend Tom Brady, who helped get him on the team, asked people to take a pause. I think everyone should be very compassionate and empathetic toward some very difficult things that are happening. Yeah. Tom seems to know exactly what's going on here, and it's personal for him. ","['96326734-fd82-4350-b45c-513e7eb9147c', 'b49207eb-96eb-4b73-b534-adc0ef85022a']"
"There. With the new Year comes new rules and regulations. Tolls are now higher for drivers in New Jersey. Toll prices on the Turnpike in the Garden State Parkway are up 3%. That hike took effect today. You'll also have to pay more to cross the Mario M. Cuomo Bridge. The amount will depend on whether you have an easy pass. The toll for the standard New York easy pass will rise $0.50 to five point $75. But if you live in Rockland or Westchester Counties, the toll will stay at four point $0.75 ",['39822b5f-e37e-43e8-b997-7142fe55c3ea']
"Shante. New covid testing policy goes into effect today in city schools as officials continue to work to beat back the OMA Cron surge. Random testing will double in schools across the five boroughs. In addition, any child who is exposed to the virus will be allowed to come back to the classroom if they test negative. It's part of the test and stay strategy intended to keep schools open even with cases on the ","['96326734-fd82-4350-b45c-513e7eb9147c', '6fbf954a-03f9-4782-a65f-783271c9c447']"
"tonight with a growing travel nightmare. More than 2600 flights canceled today, the most since the wave of cancellations that began just before Christmas. And the numbers are climbing. Already, more than 1000 flights tomorrow have been grounded. A combination of weather and staffing shortages are slamming the Airlines in one of their peak travel weekends, leaving thousands of weary travelers with nowhere to go. Airlines are offering incentives to pilots and crews to work extra hours to make up for staffing shortages caused by the pandemic. ","['39822b5f-e37e-43e8-b997-7142fe55c3ea', '74e2fab8-689f-4e17-9a1c-e1f92e084f55']"
"News Governor Hoekel also shared her election year agenda to help the state recover from the pandemic. It includes a $1.2 billion tax cut for the middle class, 1 billion in property tax rebates and $100 million in tax relief for small businesses. She also proposed the Clean Slate Act. That would mean 2 million New Yorkers could have their records sealed if they stay out of trouble. The governor also said that she wants to bring back cocktails to go and make it permanently ","['39822b5f-e37e-43e8-b997-7142fe55c3ea', '83a09c6b-5f2f-421f-ae50-b38acca7e008']"
"today in New York City. Public schools will welcome students back for the first time after the holiday break. The nation's largest school district will reopen with a new testing plan in place with the goal of preventing classroom shutdowns. This comes as a growing number of local districts choose to go remote. The list includes in New Jersey, some of the state's largest systems, like Patterson and ",['6fbf954a-03f9-4782-a65f-783271c9c447']
"very much for that. Next to the daring high wire rescue outside Albuquerque, New Mexico, amid icy conditions. Nearly two dozen people stranded overnight in a tram at Sandia Peak. Rescuers reaching all of them late today. And a winter storm impacting millions across the country tonight. A state of emergency declared in Kentucky. Tornado watches in effect across several States as the system sweeps east. Abc's Elwin Lopez is in ",['9ff54ded-904b-4e0c-85ce-a3617f5cb913']
"all works. So let's go hour by hour here with the models. Remember, all of this moisture is down to our south. So you're just looking at the leading edge of snow that gets in here as it creeps off to our east. So 29 degrees in Belmart, 1130 this morning, 29 in Toms River, 29 in Trenton. That's where the snow is falling according to the models, and a little bit out toward the Eastern in Long Island. That's why now there's a winter weather advisory out for Long Island. Also for Monmouth County, Ocean County has a winter storm warning out because there'll be more snow ",['0d817400-3f5d-41e0-929c-c31fdbe75d31']
"and we stay in Westchester County. No smoking is now the law in Scarsdale, lighting up or vaping on public property comes with a $100 fine. The Board of Trustees passed the legislation in December. Discouraging public use of marijuana was cited as a ","['83a09c6b-5f2f-421f-ae50-b38acca7e008', '74e2fab8-689f-4e17-9a1c-e1f92e084f55']"
tab. Now to that police involved shooting in Brooklyn tonight. Officers say that the suspect had robbed that store just two days ago and this time came back wearing a disguise. Cbs News Ali Bowman live in Kanarcy for us with the ,"['83a09c6b-5f2f-421f-ae50-b38acca7e008', '9ff54ded-904b-4e0c-85ce-a3617f5cb913']"
cards. Incoming Nassau County Executive Bruce Blakeman will be sworn into office later today in Garden City. Blakeman defeated incumbent County Executive Laura Kern in November. He has been a strong opponent of New York State mask mandates for schools. This afternoon's inauguration ceremony will also include the swearing in of the county's recently elected Comptroller and county ,['83a09c6b-5f2f-421f-ae50-b38acca7e008']
"attacks. Meanwhile, former President Trump cancelling a planned press conference on the anniversary of the riots. He released a statement today that included name calling of political enemies and his false claim that the 2020 election was ",['83a09c6b-5f2f-421f-ae50-b38acca7e008']
"flights. Police on Long Island arrested a Nassau County woman. Investigators say she administered a shot of what's believed to be a covid 19 vaccine to a 17 year old boy. She was not a medical professional. The shot was administered at her home in Sea Cliff last night. When the boy went home and told his mom, she called the police. Investigators charged 54 year old Laura Parker Russo with unauthorized practice of a ","['9ff54ded-904b-4e0c-85ce-a3617f5cb913', '96326734-fd82-4350-b45c-513e7eb9147c']"
"Here's our future cast clouds lower and thickening overnight by 03:00, a.m. Maybe first flakes coming down over extreme Southern parts of Ocean County. Watch the progression of this snowfall just creeping its way very slowly up the Jersey shore by 07:00 in the morning. So up to about Belmar by that point, probably just cloudy in and around New York City and then it tries to make it into the city. I think it will do so at some point during the morning into the early part of the afternoon. We're on the Northern edge. We're not expecting the heaviest totals here in New York City. But looking off to the south, you get these darker shades ",['0d817400-3f5d-41e0-929c-c31fdbe75d31']
"you. And the Mayor also making waves about his reopening plan, calling on big Manhattan banks to bring their workers back to the office instead of allowing people to work from home. Now, for their part, Goldman Sachs says many employees will stay home until January 18 as the homercron surge continues to hit New York. And so back here live in Queens, I can tell you that announcement from the Mayor is set for 03:00 this ",['39822b5f-e37e-43e8-b997-7142fe55c3ea']
"request. Meanwhile, a warning to law enforcement agencies to be on alert ahead of the January 6 anniversary. On Thursday, the Department of Homeland Security urging cops around the country to be on the lookout for violent extremists who might be plotting new ","['83a09c6b-5f2f-421f-ae50-b38acca7e008', '9ff54ded-904b-4e0c-85ce-a3617f5cb913']"
their. ,"['83a09c6b-5f2f-421f-ae50-b38acca7e008', '96326734-fd82-4350-b45c-513e7eb9147c']"
"We are back with a story you'd expect to see in a movie. How about this? Three years after a boy from Maryland threw a message in a bottle into the ocean, it has turned up again. The bottle washed up in Ireland. Couple found it, read the note inside, and then they went on Facebook to track down the boy's ","['74e2fab8-689f-4e17-9a1c-e1f92e084f55', 'e7cbe38d-c987-4113-aa94-fd77eda451d5']"
"virus. And with Kofi cases skyrocketing in New Jersey, many school districts are going remote for at least the first few days after winter break. Some of the state's largest districts, including Newark, Jersey City, Patterson and Camden, will be virtual in Hudson County, Hoboken, North Bergen Bayon and Harrison, to name a few. That will start the new year with remote ","['96326734-fd82-4350-b45c-513e7eb9147c', '6fbf954a-03f9-4782-a65f-783271c9c447']"
"some breaking news to tell you about the first murder of 2022 in New York City. It took place in Queens. The victim was a woman in her 40s, found stabbed shortly before 09:00 p.m.. Someone called 911 when they spotted her near the Bel Air Diner in Astoria. An FDNY ambulance crew rushed her to the hospital in cardiac arrest. She died there. So far, no suspects or ",['9ff54ded-904b-4e0c-85ce-a3617f5cb913']
"Ali, thank you. Tonight a sign things are moving in the wrong direction in the fight against Covet in New York State hospitalization's, top 10,000. We haven't seen a number like that since May of 2020. And on the city map here, the areas with the darkest colors have the highest covert positivity rate. The Bronx tops all the boroughs 27% and in Fordham, Kingsbridge and University Heights sections. The rate is close to 50%. Cbs Two's Jessica ","['83a09c6b-5f2f-421f-ae50-b38acca7e008', '96326734-fd82-4350-b45c-513e7eb9147c']"
"With two new pills authorized by the FDA to fight the effects of COVID, there's a push for New York State to be first in line for the initial shipments. Now supplies of Pfizers, Paxlovid and Merck's Mall. Am I saying that right? Mall? New pureville are scarce. As production ramps up, Senator Charles Schumer says the feds should prioritize the roughly 400,000 treatment rounds now available ",['96326734-fd82-4350-b45c-513e7eb9147c']
And Mrs. Doubtfire to the list of Broadway shows taking a hiatus from live performances due to the Kobe surge. The musical producers say the pause from January 10 through March 14 will help avoid a full shutdown. The show had a brief break in early December but resumed performances on the ,['ca197b81-ca86-4792-8c25-2ba7cd4195b5']
"All right, felon Chad, two winter weather alerts to tell you about over the next 72 hours. The first one is about icing. The second one will be about snow that's late Thursday night into Friday. But we're right about six spots in the morning. Temperatures outside of the city in the 20s. Witter Weather Advisories think about maybe throwing some rock salt or some calcium chloride on the steps of the driveway. Watch your step tomorrow morning. Winter weather Advisories North and west, close to New York City, just north and west, closer to nine or 10:00 in the ",['9a06646a-e1df-4fca-888e-69658420556b']
"together. Meanwhile, a rally over a deadly police shooting in New Jersey tonight, they chanted the name of a black man tonight killed by police in Patterson. Protesters calling for answers on the death of 25 year old Felonious Mignite Jr. Police in Patterson have released very few details about last Wednesday's shooting. Just that cops investigating an earlier incident encounter an armed McKnight and an officer opened fire. But McKnight's family insists he was not armed. They want police to release body Cam footage and the names of the officers involved. ","['83a09c6b-5f2f-421f-ae50-b38acca7e008', '9ff54ded-904b-4e0c-85ce-a3617f5cb913', '6fbf954a-03f9-4782-a65f-783271c9c447']"
"Ken. Good morning from outside Elmhurst Hospital. This was one of the hardest hit hospitals at the beginning of the pandemic. And so today, Mayor Eric Adams is actually going to be here to make an announcement. He says they are going to be getting some more money now back in the spring of 2020, Elmers may have been the hardest hit with the emergency room and ICU overwhelmed in the early days of the pandemic today, the numbers are going back up with more than 10,000 hospitalizations statewide, the most since May ",['96326734-fd82-4350-b45c-513e7eb9147c']
"winds. Heavier rain east, but we could see some rain bands even through parts of New Jersey Saturday into Sunday. Of course, all of this related to what will likely be Hurricane on Re Sunday. We'll wrap it up early ",['9a06646a-e1df-4fca-888e-69658420556b']
President Biden says he will invest more in the fight against COVID. The President says that the administration will double its order for Pfizer's COVID pill from 10 million to 20 million. The treatment should be available in the coming months. Fisa says that the treatment pill is 89% effective at preventing illness and death. ,"['83a09c6b-5f2f-421f-ae50-b38acca7e008', '96326734-fd82-4350-b45c-513e7eb9147c']"
"We're now to the latest in the battle against COVID. Two big developments this morning when it comes to vaccines and who can get them? Fox News Reagan Maggie is live at the Vaccine Hub at City Field with everything we need to know. Good morning, Reagan. Yeah, good morning here, Dan. We're looking at children as young as six months of age to five years old. The FDA could potentially give Pfizer the okay. And if they do, that means that those from six months to five years of age could end up rolling up their little sleeves and get the shot as early as the end of this month. ","['83a09c6b-5f2f-421f-ae50-b38acca7e008', '96326734-fd82-4350-b45c-513e7eb9147c']"
"activity. As you can see by those numbers, the numbers show we are in a pandemic mess again, testing lines getting longer. So many students and teachers back to remote learning and the OMA Cron peak. Still, who knows how far away? And now the Mayor of New York on the job just four days, says he wants New Yorkers to get back to work. Despite the high positivity and the many people who are still unvaccinated here's. Highwood senior reporter Jim ","['83a09c6b-5f2f-421f-ae50-b38acca7e008', '96326734-fd82-4350-b45c-513e7eb9147c']"
Next tonight. Americans are feeling the pinch of rapidly rising prices at the supermarket. The spike is being caused by a combination of factors. But when will it end? Here's ABC's Business and economics correspondent Deirdre Bolton. ,['39822b5f-e37e-43e8-b997-7142fe55c3ea']
"let's go from forever love to. Did you ever really love it? Oh, boy. You know what he's talking about, right? He's talking about the latest Kardashian drama because Khloe Kardashians on again. Off again, on again, off again. Ex Tristan Thompson. Yeah, he's confirmed he's a dad again. ",['ca197b81-ca86-4792-8c25-2ba7cd4195b5']
"Tonight's Powerball jackpot has now risen to $610,000,000. It is now the 7th largest in Powerball history. Nobody won Monday's drawing, but there was a million dollar winter sold in Connecticut. There have been 39 drawings in a row. Now with no ",['0d817400-3f5d-41e0-929c-c31fdbe75d31']
"more. Well, as the first anniversary of the January 6 insurrection at the US Capitol approaches the House committee investigating the Trump inspired siege now wants to interview Fox host and Trump copied on Sean Hannity lawmakers want to ask Kennedy about communications he had with former President Trump and others in the days leading up to during and after the insurrection. The committee released text from Hannity today one on January 5, saying, I'm very worried about the next 48 hours. Hannity's attorney says he is evaluating the committee's ","['83a09c6b-5f2f-421f-ae50-b38acca7e008', '9ff54ded-904b-4e0c-85ce-a3617f5cb913']"
"tested. And with cases surging, some large school districts like Atlanta are starting the semester virtually. Meanwhile, colleges from coast to coast are exploring their options. Some are returning to virtual learning, while others are requiring testing proof of vaccination or boosters. ","['96326734-fd82-4350-b45c-513e7eb9147c', '6fbf954a-03f9-4782-a65f-783271c9c447']"
"needs tough situation well, President Biden tonight reassuring vaccinated Americans there is no need for alarm over the spread of the Omarcran variant. However, his message to the Unvaccinated is much more ","['83a09c6b-5f2f-421f-ae50-b38acca7e008', '96326734-fd82-4350-b45c-513e7eb9147c']"
Manhattan's new district attorney is laying out his plan for fighting crime in the city. Alvin Bragg says he will stop seeking prison sentences in some cases and downgrade some others. Cbs News Dick Brennan has details ,['83a09c6b-5f2f-421f-ae50-b38acca7e008']
"Heather, thank you. It's 432. And today marks one year since one of the darkest days for democracy in the United States. An armed crowd stormed the Capitol Building in protests of the 2020 election results. The image is stunning. There's a live look at the capital today. Security will be on high alert in our area. Some events are planned to Mark one year since those riots. Eyewitness News reporter Derek Waller live in Prospect Heights, Brooklyn, with more Derek ","['83a09c6b-5f2f-421f-ae50-b38acca7e008', '9ff54ded-904b-4e0c-85ce-a3617f5cb913']"
News Mayor Adams has also signed an executive order aimed at helping small businesses already struggling due to the pandemic. This order requires city agencies to get rid of obsolete violations and reduce penalties for first time offenders. The Mayor says that he plans to implement these recommendations from city agencies as early as June. ,"['39822b5f-e37e-43e8-b997-7142fe55c3ea', '83a09c6b-5f2f-421f-ae50-b38acca7e008']"
"information. Peter is now offering a reward after a woman and her dog were shot and killed in Brooklyn. Jennifer Anoa and her pit Bull were shot Sunday night at a smoke shop in Bed Sky. Police initially believed that Inoah was targeted, but they now say the shooter may have been aiming at a man that she was standing next to who ran away after the shooting. Peter offering a $5,000 reward to find the ",['9ff54ded-904b-4e0c-85ce-a3617f5cb913']
"all going to work out here's. Your Thursday looking pretty good out there by about 03:00 in the afternoon, partly sunny, but you notice the clouds are coming in eventually all cloudy. And then the snow showers begin this time tomorrow night. It looks like we'll be having snow showers moving in places off to our west, maybe up to the north as well. And then it's with us while you go through the overnight hours. Here you are, 06:00 a.m. A lot of folks starting their morning commute, the center of the storm is forecast to be offshore. Okay, so the closer you are to that center, the heavier bouts of snow that you'll be having not as much as you see north and ",['0d817400-3f5d-41e0-929c-c31fdbe75d31']
"Meanwhile, Suffolk County Executive Steve Balloon will announce the distribution of COVID test kits to vulnerable residents, seniors, veterans and first responders are among the groups the county will prioritize. ",['96326734-fd82-4350-b45c-513e7eb9147c']
"News and the CDC is clarifying its guidance on isolation and testing. The agency isn't advising a test for isolated people, but says if you do choose to get one, the best approach is a rapid test toward the end of your five day isolation period. If negative and no symptoms, isolation can end, but you're advised to wear a mask until day ten if positive, continue isolation for ten days. Some doctors say rapid antigen tests are a key tool in fighting the surge, saying PCR tests can be too ","['83a09c6b-5f2f-421f-ae50-b38acca7e008', '96326734-fd82-4350-b45c-513e7eb9147c']"
